premise_name,opening_date,closing_date,premise_address1
NASHER ART MUSEUM CAFE,8/23/2007 12:00:00 AM,,2001 CAMPUS DR
ROMA'S PIZZA SHOP,8/23/2007 12:00:00 AM,,202 RED MOUNTAIN RD
THE MALLARD,9/25/2007 12:00:00 AM,,4023 WAKE FOREST HIGHWAY
PALACE INTERNATIONAL,9/25/2007 12:00:00 AM,,1104 BROAD STREET STE K
TOWN & COUNTRY # 1,10/18/2007 12:00:00 AM,,1423 E. CLUB BLVD
WATTS STREET GROCERY,10/18/2007 12:00:00 AM,,1116 BROAD STREET
SUBWAY 40733,11/20/2007 12:00:00 AM,,2121 ALEXANDER DRIVE
STARBUCK'S COFFEE #10564,11/20/2007 12:00:00 AM,,1119 SLATER ROAD
SILVER SPOON,12/12/2007 12:00:00 AM,,5230 N ROXBORO ROAD
JIMMY JOHN'S 991,12/12/2007 12:00:00 AM,,5410 PAGE ROAD SUITE 5
MAMI NORAS ROTISSERIE,12/12/2007 12:00:00 AM,,302 DAVIDSON AVE
SIX PLATES WINE BAR,12/12/2007 12:00:00 AM,,2812 ERWIN ROAD SUITE 104
T G I FRIDAYS,12/12/2007 12:00:00 AM,,2608 ERWIN ROAD SUITE 104
CHIPOTLE MEXICAN GRILL,12/12/2007 12:00:00 AM,,2608 ERWIN ROAD # 17
HILTON GARDEN INN CAFE,1/23/2008 12:00:00 AM,,7007 FAYETTEVILLE ROAD
FIREHOUSE SUBS # 325,1/23/2008 12:00:00 AM,,2608 ERWIN ROAD SUITE 128
LONE STAR STEAKHOUSE & SALOON,1/23/2008 12:00:00 AM,,5307 NEW HOPE COMMONS DRIVE
MCDONALDS # 32344,3/31/2008 12:00:00 AM,,3533 HILLSBOROUGH ROAD
SUBWAY,2/20/2008 12:00:00 AM,,401 H LAKEWOOD AVE
STAYBRIDGE SUITES BREAKFAST BA,2/20/2008 12:00:00 AM,,3704 MT. MORIAH ROAD
CHICK-FIL-A RENAISSANCE VILLAG,2/20/2008 12:00:00 AM,,7836 LEONARDO DRIVE
TOAST,3/19/2008 12:00:00 AM,,345 W. MAIN STREET
LA FONDITA,3/19/2008 12:00:00 AM,,2000 AVONDALE DRIVE SUITE D
BRUEGGERS BAGELS # 200,4/18/2008 12:00:00 AM,,1831 MARTIN LUTHER KING PKWY
MEELO'S,4/18/2008 12:00:00 AM,,1821 HILLANDALE ROAD
LOCAL  22 KITCHEN AND BAR,4/18/2008 12:00:00 AM,,2200 W MAIN STREET SUITE B 130
MEZ,4/18/2008 12:00:00 AM,,5410 PAGE ROAD SUITE 8
BRUEGGERS BAGEL,5/2/2008 12:00:00 AM,,626 NINTH STREET
CHUBBYS TACOS,4/18/2008 12:00:00 AM,,748 NINTH STREET
CIRCLE K STORE #8627,7/1/1990 12:00:00 AM,,100 WOODCROFT PKWY
DOG HOUSE,7/1/1990 12:00:00 AM,,2009 GUESS ROAD
DOG HOUSE   THE,7/1/1990 12:00:00 AM,,931 MIAMI BOULEVARD
DOG HOUSE,7/1/1990 12:00:00 AM,,5279 N. ROXBORO ROAD
DOMINO'S-WOODCROFT,7/1/1990 12:00:00 AM,,4711 HOPE VALLEY ROAD
DOMINOS PIZZA  512,7/1/1990 12:00:00 AM,,4502 N. ROXBORO ROAD
HONEY BAKED HAM COMPANY 107,7/1/1990 12:00:00 AM,,3608 CHAPEL HILL BOULEVARD
KANGAROO EXPRESS # 104,7/1/1990 12:00:00 AM,,4835 HOPE VALLEY RD
KANGAROO EXPRESS # 838,7/1/1990 12:00:00 AM,,2503 HIGHWAY 55
PIZZA HUT DELIVERY,7/1/1990 12:00:00 AM,,3808 GUESS ROAD
PIZZA HUT DELIVERY,7/1/1990 12:00:00 AM,,4201-103 UNIVERSITY DRIVE
SAVORY FARE INC,7/1/1990 12:00:00 AM,,908 W MAIN STREET
WIMPY'S GRILL,7/1/1990 12:00:00 AM,,617 HICKS STREET
DOG HOUSE,7/1/1990 12:00:00 AM,,3521 HILLSBOROUGH ROAD
SOUTHEAST FOOD SYSTEMS COMMISSARY,1/12/1993 12:00:00 AM,,1723 PAGE RD EXT
KROGER R 337 SEA FOOD,12/5/1994 12:00:00 AM,,5116 ROXBORO ROAD
KROGER R 337 DELI,12/5/1994 12:00:00 AM,,5116 ROXBORO ROAD
PAPA JOHNS PIZZA 639,1/6/1995 12:00:00 AM,,1018 W MAIN STREET
TOWN DELI II,2/29/1996 12:00:00 AM,,1432 LAWSON ST
FAST FOOD MART,8/14/1997 12:00:00 AM,,2106 BROAD ST
WILCO HESS  195,11/20/1997 12:00:00 AM,,1400 S MIAMI BLVD
PAPA JOHN  PIZZA  1626,2/16/1998 12:00:00 AM,,3600 N DUKE STREET
PAPA JOHNS PIZZA,7/23/1998 12:00:00 AM,,4901 HIGHWAY 55
KROGER R 331  SEAFOOD,10/26/1998 12:00:00 AM,,202 NC HWY 54
DUKE FOOD SERVICES,10/26/1998 12:00:00 AM,,DUKE CLINIC FOOD COURT
M AND M #4,1/4/1999 12:00:00 AM,,801 N MANGUM ST
SUBWAY,1/19/1999 12:00:00 AM,,1058 W CLUB
THRILLS FROM THE GRILL,7/10/2000 12:00:00 AM,,2827 N ROXBORO ROAD
FOOD LION DELI  #57,7/16/1997 12:00:00 AM,,5279 N ROXBORO ROAD
FOOD LION LLC  DELI  #1343,7/28/2000 12:00:00 AM,,2000 CHAPEL HILL RD
FOOD LION  LLC  DELI  #939,7/28/2000 12:00:00 AM,,4621 HILLSBOROUGH RD
FOOD LION LLC DELI    #1099,2/25/1993 12:00:00 AM,,2930 W MAIN ST
WILCO HESS 191,11/2/1999 12:00:00 AM,,803 E GEER ST
FOOD MART  16  THE,11/20/2000 12:00:00 AM,,4319 HWY 55
COSTCO SERVICE DELI,1/31/2001 12:00:00 AM,,1510 NORTH POINTE DRIVE
KANGAROO EXPRESS # 3477,3/9/2001 12:00:00 AM,,4604 N ROXBORO RD
COOK OUT DURHAM ROX,6/8/2001 12:00:00 AM,,4245 N ROXBORO ROAD
KROGER R 332 DELI,10/29/2001 12:00:00 AM,,3457 HILLSBOROUGH RD
KROGER R 332 PRODUCE,10/29/2001 12:00:00 AM,,3457 HILLSBOROUGH ROAD
KROGER 332 SEAFOOD,10/29/2001 12:00:00 AM,,3457 HILLSBOROUGH RD
FOOD LION DELI 885,7/1/1990 12:00:00 AM,,4900 HWY 55
FOOD LION LLC DELI  #420,7/28/2000 12:00:00 AM,,3808 GUESS RD
CATERING BY GEORGE,1/3/2002 12:00:00 AM,,2504 FAYETTEVILLE STREET
FOOD LION LLC   DELI  #274,4/3/1995 12:00:00 AM,,4711 HOPE VALLEY RD
PAPA JOHN S,1/17/2002 12:00:00 AM,,3751 HOLLOWAY STREET
ACADEMY QUICK STOP,7/1/1990 12:00:00 AM,,3006 ACADEMY DRIVE
HARRIS TEETER #172 DELI,8/10/1995 12:00:00 AM,,1817 MARTIN LUTHER KING PWK
VILLA PIZZA,4/29/2002 12:00:00 AM,,6910 FAYETTEVILLE ROAD
CAPITAL SEAFOOD,4/29/2002 12:00:00 AM,,1304 UNIVERSITY DRIVE
ERWIN SQUARE CAFE,9/26/2002 12:00:00 AM,,2200 W MAIN ST STE B100
INTIMATE AFFAIRS CATERING,10/9/2002 12:00:00 AM,,1408 CHRISTIAN AVE  SUITE 3
BETH EL SYNAGOGUE,11/18/2002 12:00:00 AM,,1004 WATTS ST
COOK OUT MIAMI BLVD  21,3/3/2003 12:00:00 AM,,1540 S MIAMI BLVD
KROGER R 381 SEAFOOD,3/3/2003 12:00:00 AM,,3825 S ROXBORO ST
COOK OUT  22,5/15/2003 12:00:00 AM,,3624 HILLSBOROUGH RD
KANGAROO  3489,5/15/2003 12:00:00 AM,,7840 LEONARDO DR
KROGER  R 331 DELI,10/26/1998 12:00:00 AM,,202 N C HWY 54
LA SUPERIOR MARKET HOT FOOD,6/17/2003 12:00:00 AM,,3325 N ROXBORO RD
GREENFIELDS CATERING,6/17/2003 12:00:00 AM,,1725 CARPENTER FLETCHER RD
FOOD LION DELI  747 DELI,5/22/1995 12:00:00 AM,,3500 N ROXBORO RD
DOMINOS PIZZA,2/1/1993 12:00:00 AM,,3001 E HOLLOWAY ST
LA PLAZA LATINA TORTILLERIA,5/18/2004 12:00:00 AM,,3801 WAKE FOREST HYW SUITE 106 AND 108
SAGE AND SWIFT,5/19/2004 12:00:00 AM,,2505 WHILDEN DRIVE
FOOD LION LLC  #2593 DELI,5/26/2004 12:00:00 AM,,3022 FAYETTEVILLE ST
HAN DEE HUGOS  77,5/26/2004 12:00:00 AM,,1203 W CLUB BLVD
HAN DEE HUGOS  76,5/26/2004 12:00:00 AM,,1001 S MIAMI BLVD
FOOD LION  2589 DELI,6/15/2004 12:00:00 AM,,121 SHERRON RD
KROGER 337,6/15/2004 12:00:00 AM,,5116 ROXBORO RD
SAMS CLUB 4831 DELI,9/29/2004 12:00:00 AM,,4005 CHAPEL HILL BLVD
KROGER R 374 SEAFOOD,1/10/2005 12:00:00 AM,,3420 WATKINS RD
HARRIS TEETER  172 PRODUCE,6/13/2005 12:00:00 AM,,1817 MARTIN LUTHER KING JR P
WHOLE FOODS SEAFOOD,1/6/2006 12:00:00 AM,,621 BROAD ST
WHOLE FOODS PRODUCE,2/3/2006 12:00:00 AM,,621 BROAD ST
KANGAROO EXPRESS #3781,4/10/2006 12:00:00 AM,,106 NC HWY 54
FOOD LION LLC  #2646 DELI,4/10/2006 12:00:00 AM,,2121 T W ALEXANDER DRIVE
WHOLE FOODS SPECIALITY,5/12/2006 12:00:00 AM,,615 BROAD ST
LA VAQUITA  #1,7/19/2006 12:00:00 AM,,2700 CHAPEL HILL RD
TAQUERIA LA ESPERANZA,1/8/2007 12:00:00 AM,,1028 HOLLOWAY ST
EDIBLE ARRANGEMENTS,1/9/2007 12:00:00 AM,,5832 FAYETTEVILLE RD
COMPARE FOODS DELI,1/8/2007 12:00:00 AM,,2000 AVONDALE DR
NORTHGATE STADIUM 10,9/26/2007 12:00:00 AM,,1058 W. CLUB BLVD
PAPA JOHNS,10/18/2007 12:00:00 AM,,5318 NEW HOPE COMMONS EXT
CIRCLE K # 6312,11/20/2007 12:00:00 AM,,109 W HWY 54
J & C'S CATERING,7/26/2005 12:00:00 AM,,2103 ALLENDOWN DR SAL'S PIZZA
CRESSET CHRISTIAN ACADEMY,9/9/1991 12:00:00 AM,,3707 GARRETT ROAD
MT ZION CHURCH LUNCHROOM,9/5/1991 12:00:00 AM,,3519 FAYETTEVILLE STREET
BETHESDA CHRISTIAN ACADEMY,7/17/2003 12:00:00 AM,,1914 S MIAMI BLVD
GORMAN CHRISTIAN ACADEMY,2/15/2007 12:00:00 AM,,3315 E GEER ST
R DAVID THOMAS CENTER,1/7/1992 12:00:00 AM,,1 SCIENCE DRIVE
MED CTR COMMONS/FOOD SERV SEC,9/14/1992 12:00:00 AM,,016 SEELEY MUDD BUILDING
BLUE EXPRESS/CO DUKE UNI,11/21/1994 12:00:00 AM,,LSRC B 110 LASALLE ST EXT
DUKE EAST UNION,9/18/1995 12:00:00 AM,,BOX 90898
GRACE S CAFE,10/26/1998 12:00:00 AM,,2138 CAMPUS DR
FREEMAN  CENTER FOR JEWISH LIF,11/2/1999 12:00:00 AM,,1415 FABER STREET
MCDONALDS,2/2/2000 12:00:00 AM,,BRYAN STUDENT CENTER
FOX STUDENT DINING,9/18/2002 12:00:00 AM,,"100 FUQUA DR, FUQUA BUSINESS CENTER"
TWINNIES CAFE,12/21/2004 12:00:00 AM,,101 SCIENCE DRIVE
DIVINITY CAFE,7/19/2006 12:00:00 AM,,2 CHAPEL DR DUKE DIVINITY SC
EAGLES NEST FOOD COURT,8/3/2006 12:00:00 AM,,1801 FAYETTEVILLE ST
WYNN CENTER CAFETERIA,8/3/2006 12:00:00 AM,,1625 COOPER ST
QUENCHERS,2/20/2008 12:00:00 AM,,118 TOWERVIEW DRIVE
W D HILL SERVICE CENTER,8/24/1992 12:00:00 AM,,1308 FAYETTEVILLE ST
PREISS STEELE PLACE,4/18/1994 12:00:00 AM,,500 PICKWICK TRAIL
LITTLE RIVER ELDERLY NUTRITION,9/8/1997 12:00:00 AM,,8305 ROXBORO RD
BETHESDA SCHOOL LUNCHROOM,9/19/1991 12:00:00 AM,,2009 S MIAMI BLVD
BROGDEN MIDDLE LUNCHROOM,9/16/1991 12:00:00 AM,,1011 LEON STREET
BURTON SCHOOL LUNCHROOM,7/1/1990 12:00:00 AM,,1500 MATHISON ST.
CARRINGTON MIDDLE SCHOOL LUNCHROOM,9/17/1991 12:00:00 AM,,227 MILTON ROAD
SCHOOL FOR CREATIVE STUDIES JR HIGH SLR,9/11/1991 12:00:00 AM,,6819 RED MILL ROAD
CLUB BLVD SCHOOL LUNCHROOM,9/9/1991 12:00:00 AM,,400 CLUB BLVD
DURHAM SCHOOL OF THE ARTS,9/24/1991 12:00:00 AM,,400 N DUKE STREET
EASLEY ELEMENTARY SCHOOL,9/5/1991 12:00:00 AM,,302 LEBANON CIRCLE
ENO VALLEY SCHOOL LUNCHROOM,9/12/1991 12:00:00 AM,,117 MILTON ROAD
FAYETTEVILLE STREET ELEM LUNCHROOM,9/5/1991 12:00:00 AM,,2905 FAYETTEVILLE STREET
SHERWOOD GITHENS MIDDLE SCHOOL LUNCH,9/13/1991 12:00:00 AM,,4800 CHAPEL HILL ROAD
R N HARRIS SCHOOL LUNCHROOM,9/18/1991 12:00:00 AM,,1520 COOPER STREET
HOLT SCHOOL LUNCHROOM,9/6/1991 12:00:00 AM,,4019 HOLT SCHOOL ROAD
JORDAN HIGH SCHOOL LUNCHROOM,9/12/1991 12:00:00 AM,,6806 GARRETT ROAD
LAKEWOOD LUNCHROOM,9/10/1991 12:00:00 AM,,2520 VESSEN AVE
LOWES GROVE MIDDLE SCHOOL LUNCHROOM,9/9/1991 12:00:00 AM,,4418 S ALSTON AVE
MANGUM SCHOOL LUNCHROOM,9/4/1991 12:00:00 AM,,9008 QUAIL ROOST ROAD
MERRICK MOORE SCHOOL LUNCH ROOM,9/5/1991 12:00:00 AM,,2325 CHEEK ROAD
MOREHEAD LUNCHROOM,9/9/1991 12:00:00 AM,,909 W COBB STREET
NEAL SCHOOL LUNCHROOM,9/5/1991 12:00:00 AM,,201 BAPTIST RD
NORTHERN HIGH SCHOOL,9/19/1991 12:00:00 AM,,117 TOM WILKINSON RD
PARKWOOD ELEMENTARY LUNCHROOM,9/12/1991 12:00:00 AM,,5207 REVERE ROAD
PEARSONTOWN SCHOOL LUNCHROOM,9/10/1991 12:00:00 AM,,4915 BARBEE ROAD
E K POWE SCHOOL LUNCHROOM,9/10/1991 12:00:00 AM,,913 NINTH STREET
RIVERSIDE SCHOOL LUNCHROOM,9/10/1991 12:00:00 AM,,ROSE OF SHARON ROAD
ROGERS HERR SCHOOL LUNCHROOM,9/4/1991 12:00:00 AM,,911 W CORNWALLIS ROAD
SHEPARD MIDDLE SCHOOL LUNCHROOM,11/20/1991 12:00:00 AM,,2401 DAKOTA ST
Y E SMITH,9/9/1991 12:00:00 AM,,2410 E MAIN STREET
SOUTHWEST ELEMENTARY LUNCHROOM,9/10/1991 12:00:00 AM,,2320 COOK ROAD
C C SPAULDING,9/18/1991 12:00:00 AM,,1531 S ROXBORO STREET
OAK GROVE SCHOOL LUNCHROOM,5/25/1993 12:00:00 AM,,3810 WAKE FOREST HIGHWAY
GLENN SCHOOL LUNCHROOM,8/24/1993 12:00:00 AM,,2415 GEER STREET
LITTLE RIVER LUNCHROOM,8/24/1993 12:00:00 AM,,2215 SNOW HILL ROAD
SOUTHERN HIGH SCHOOL LUNCHROOM,8/23/1993 12:00:00 AM,,800 CLAYTON ROAD
FOREST VIEW LUNCHROOM,9/30/1993 12:00:00 AM,,3007 MT SINAI ROAD
HILLANDALE SCHOOL LUNCHROOM,2/16/1994 12:00:00 AM,,2730 HILLANDALE RD
GEORGE WATTS LUNCHROOM,5/16/1995 12:00:00 AM,,700 WATTS ST
HILLSIDE LUNCHROOM,9/18/1995 12:00:00 AM,,3727 FAYETTEVILLE ST
EASTWAY LUNCHROOM,1/23/1996 12:00:00 AM,,610 N ALSTON AVE
HOPE VALLEY LUNCHROOM,3/8/2001 12:00:00 AM,,3005 DIXON RD
LAKEVIEW SCHOOL LUNCHROOM,1/31/2001 12:00:00 AM,,3507 DEARBORN DRIVE
CREEKSIDE ELEMENTARY,1/26/2005 12:00:00 AM,,5321 EPHESUS CHURCH ROAD
W G PEARSON SCHOOL LUNCHROOM,10/16/2006 12:00:00 AM,,3501 FAYETTEVILLE ST
W G PEARSON MAGNET MIDDLE SCH,9/26/2007 12:00:00 AM,,600 EAST UMSTEAD STREET
BRIAN CENTER HEALTH RETIREMENT IFS,10/23/2003 12:00:00 AM,,6000 FAYETTEVILLE RD
CAROLINA HOUSE OF DURHAM IFS,10/15/2003 12:00:00 AM,,4434 BEN FRANKLIN BLVD
CARVER LIVING CENTER IFS,10/21/2003 12:00:00 AM,,321 E CARVER ST
CLARE BRIDGE OF CHAPEL HILL IFS,10/23/2003 12:00:00 AM,,2230 FARMINGTON ROAD
ENO POINTE ASSISTED LIVING IFS,10/21/2003 12:00:00 AM,,5600 N ROXBORO RD
CAMILLA GARDENS IFS,10/23/2003 12:00:00 AM,,5010 S ALSTON AVE
ELLISON REST HOME IFS,10/23/2003 12:00:00 AM,,100 ELLISON DR
HILLCREST CONVALESENT CENTER IFS,10/23/2003 12:00:00 AM,,1417 W PETTIGREW ST
KINDRED HEALTH CARE-ROSE MANOR FS,10/21/2003 12:00:00 AM,,4230 N ROXBORO RD
SPRING ARBOR IFS,10/23/2003 12:00:00 AM,,4523 HOPE VALLEY RD
TREBURN REHAB AND NURSING IFS,10/21/2003 12:00:00 AM,,2059 TORREDGE RD
TROSA IFS,11/12/2003 12:00:00 AM,,1001 NORTH ST
WYNWOOD OF CHAPEL HILL IFS,10/23/2003 12:00:00 AM,,2220 FARMINGTON RD
FOREST AT DUKE  IFS,10/23/2003 12:00:00 AM,,2701 PICKETT RD
CEDARS OF CHAPEL HILL IFS,9/8/2004 12:00:00 AM,,101 GREEN CEDAR LANE
EDEN SPRING LIVING CENTER IFS,3/8/2005 12:00:00 AM,,3812 BOOKER ST
DURHAM RIDGE ASSISTED LIVING IFS,2/15/2007 12:00:00 AM,,3420 HOLLOWAY ST
HILTON GARDEN INN LODGING,7/1/1990 12:00:00 AM,,4620 S MIAMI BOULEVARD
MARRIOTT AT RTP,7/1/1990 12:00:00 AM,,4700 GUARDIAN DRIVE
RED ROOF INN 7201,7/1/1990 12:00:00 AM,,5623 CHAPEL HILL BOULEVARD
RED ROOF INN  7164,7/1/1990 12:00:00 AM,,1915 NORTH POINTE
SHERATON IMPERIAL HOTEL,7/1/1990 12:00:00 AM,,EMPEROR DRIVE
COMFORT INN,4/24/1992 12:00:00 AM,,3508 MT MORIAH RD
RESIDENCE INN,6/17/1992 12:00:00 AM,,201 RESIDENCE INN BLVD
MILLENNIUM HOTEL DURHAM,7/27/1992 12:00:00 AM,,2800 CAMPUS WALK AVE.
ECONO LODGE,11/17/1993 12:00:00 AM,,4433 HIGHWAY 55
UNIVERSITY INN,5/18/1994 12:00:00 AM,,502 ELF ST
WASHINGTON DUKE HOTEL,8/17/1995 12:00:00 AM,,3001 CAMERON BLVD
EXTENDED STAY AMERICA #31,1/28/1997 12:00:00 AM,,2504 NC HWY 54
BROOKWOOD INN,1/28/1997 12:00:00 AM,,2306 ELBA ST
DURHAM HILTON,2/17/1997 12:00:00 AM,,3800 HILLSBOROUGH RD
COURTYARD BY MARRIOTT,5/14/1997 12:00:00 AM,,1815 FRONT ST
EXTENDED STAY AMERICA #201,11/20/1997 12:00:00 AM,,3105 TOWER BOULEVARD
DAYS INN,9/18/1998 12:00:00 AM,,3460 HILLSBOROUGH RD
CROSSLAND ECONOMY STUDIO #1514,10/26/1998 12:00:00 AM,,5008 N C 55
WINGATE INN,12/3/1998 12:00:00 AM,,5223 PAGE ROAD
MARRIOTT HOTEL,1/5/1999 12:00:00 AM,,201 FOSTER ST
COURTYARD BY MARRIOTT,1/5/1999 12:00:00 AM,,301 RESIDENCE INN BLVD
SUPER 8 DURHAM,7/1/1990 12:00:00 AM,,2337 GUESS ROAD
HAMPTON INN AND SUITES CHAPEL HILL,11/2/1999 12:00:00 AM,,6121 FARRINGTON RD
HOLIDAY INN EXPRESS,2/4/2000 12:00:00 AM,,2516 GUESS RD
CANDLEWOOD SUITES,8/17/2000 12:00:00 AM,,1818 E NC HWY 54
SPRINGHILL SUITES RTP,1/31/2001 12:00:00 AM,,920 SLATER ROAD
BUDGET INN,8/7/1996 12:00:00 AM,,2101 HOLLOWAY ST
HOLIDAY INN EXPRESS RDUFR,10/29/2001 12:00:00 AM,,6119 FARRINGTON ROAD
EXTENDED STAY AMERICA #9683,9/26/2002 12:00:00 AM,,1920 IVEY CREEK BLVD
QUALITY INN AND SUITES,1/26/2005 12:00:00 AM,,3710 HILLSBOROUGH ROAD
MOTEL 6,3/8/2005 12:00:00 AM,,3454 HILLSBOROUGH RD
COMFORT INN,10/7/2005 12:00:00 AM,,4507 NC HWY 55
HOLIDAY INN EXPRESS  RTP,1/4/2006 12:00:00 AM,,4912 S MIAMI BLVD
LA QUINTA INN AND SUITES  184,5/12/2006 12:00:00 AM,,1910 WESTPARK DR
LA QUINTA INN AND SUITES  183,5/12/2006 12:00:00 AM,,4414 CHAPEL HILL BLVD
HILTON RTP,5/12/2006 12:00:00 AM,,4810 PAGE
HILTON GARDEN INN,1/23/2008 12:00:00 AM,,7007 FAYETTEVILLE ROAD
RED ROOF INN,2/20/2008 12:00:00 AM,,4405 HIGHWAY 55 EAST
STAYBRIDGE SUITES OF DURHAM,2/20/2008 12:00:00 AM,,3704 MT. MORIAH ROAD
OLD NORTH DURHAM INN,7/1/1990 12:00:00 AM,,922 N. MANGUM STREET
BLOOMING GARDEN (THE),7/1/1990 12:00:00 AM,,513 HOLLOWAY STREET
MOREHEAD MANOR,6/18/1997 12:00:00 AM,,914 VICKER AVE
CAROL'S GARDEN INN,3/9/2001 12:00:00 AM,,2412 S ALSTON AVE
AVILA RETREAT CENTER,7/1/1990 12:00:00 AM,,711 MASON ROAD
ARROWHEAD INN,8/3/1992 12:00:00 AM,,106 MASON RD
KINGS RED AND WHITE/MEAT MARKET,8/3/1994 12:00:00 AM,,2300 ROXBORO RD
KROGER 332 MEAT MARKET,9/7/1994 12:00:00 AM,,3457 HILLSBOROUGH RD
KROGER R/MEAT MARKET 337,12/5/1994 12:00:00 AM,,5116 ROXBORO ROAD
WHOLE FOODS/MEAT MARKET,2/17/1997 12:00:00 AM,,605 BROAD ST
TOM INSCOE WHOLESALE MEATS,4/9/1997 12:00:00 AM,,4130 S ALSTON ST
KROGER R 366 MEAT MARKET,9/18/1998 12:00:00 AM,,1802 NORTH PONTE DRIVE
KROGER R 331  MEAT MARKET,10/26/1998 12:00:00 AM,,202 NC HWY 54
FOOD LION 1343 MEAT MARKET,7/31/2000 12:00:00 AM,,2000 CHAPEL HILL ROAD
FOOD LION MARKET 420,8/8/1994 12:00:00 AM,,3808 GUESS RD
FOOD LION MARKET 885,8/29/1994 12:00:00 AM,,4900 HWY 55
FOOD LION  MARKET 939,1/30/1996 12:00:00 AM,,4621 HILLSBOROUGH RD
FOOD LION MARKET 234,9/7/1994 12:00:00 AM,,2550 HOLLOWAY DR
FOOD LION  MARKET 274,7/18/1994 12:00:00 AM,,4711 HOPE VALLEY ROAD
FOOD LION  MARKET 1099,7/13/1994 12:00:00 AM,,2930 W MAIN
FOOD LION MEAT MARKET #747,9/7/1994 12:00:00 AM,,3500 N ROXBORO RD
FOOD LION MEAT MARKET 57,8/22/1994 12:00:00 AM,,5279 N ROXBORO RD
COSTCO FRESH MEATS,1/31/2001 12:00:00 AM,,1510 NORTH POINTE DR
LEONE INTERNATIONAL GROCERY/MEAT MARKET,8/17/2001 12:00:00 AM,,810 FAYETTEVILLE ST
MOROLEON CARNICERIA/MEAT MARKET,8/17/2001 12:00:00 AM,,1109 N MIAMI BLVD
KROGER R 381 MEAT MARKET,3/3/2003 12:00:00 AM,,3825 S ROXBORO ST
LA SUPERIOR MEAT MARKET,6/20/2003 12:00:00 AM,,3325 N BOXBORO RD
DON BECERRA'S,10/6/2003 12:00:00 AM,,2301 N ROXBORO RD
LOS PRIMOS SUPERMARKET,7/18/1994 12:00:00 AM,,1109 E MAIN ST
LAFAVORITA MARKET,1/30/2004 12:00:00 AM,,4226 GARRETT ROAD
TARGET MEAT MARKET,3/11/2004 12:00:00 AM,,4037 CHAPEL HILL BLVD
LA PLAZA LATINA CARNICERIA,5/19/2004 12:00:00 AM,,3801 WAKE FOREST HWY SUITE 106
FOOD LION MEAT MARKET  2593,5/26/2004 12:00:00 AM,,3022 FAYETTEVILLE ST
FOOD LION MEAT MARKET  2889,6/15/2004 12:00:00 AM,,121 SHERRON RD
SAMS CLUB 4831 MEAT MARKET,9/29/2004 12:00:00 AM,,4005 CHAPEL HILL BLVD
KROGER R 374 MEAT MARKET,1/10/2005 12:00:00 AM,,3420 SW DURHAM DR
HARRIS TEETER MEAT MARKET  172,6/13/2005 12:00:00 AM,,1817 MARTIN LUTHER KING JR P
FOOD WORLD/MEAT MARKET,10/20/2005 12:00:00 AM,,401 E LAKEWOOD AVE
SUPER TARGET MEAT DEPT 2069,10/20/2005 12:00:00 AM,,8210 RENAISSANCE PARKWAY
LA MARQUETA,4/3/2006 12:00:00 AM,,4701 HILLSBOROUGH RD
FOOD LION MEAT MARKET 2646,4/10/2006 12:00:00 AM,,2121 T W ALEXANDER DRIVE
COMPARE FOODS MEAT MARKET,1/8/2007 12:00:00 AM,,2000 AVONDALE DR
COMPARE FOODS SUPERMARKET,12/12/2007 12:00:00 AM,,1233 UNIVERSITY DRIVE
BRIAN CENTER,7/12/1994 12:00:00 AM,,6000 FAYETTEVILLE RD
CARVER LIVING CENTER,12/21/1994 12:00:00 AM,,321 E CARVER ST
ENO POINTE ASSISTED LIVING,8/29/1994 12:00:00 AM,,5600 N ROXBORO RD
CAMILLA GARDENS,10/11/1994 12:00:00 AM,,5010 S ALSTON AVE
ELLISON REST HOME,11/28/1994 12:00:00 AM,,100 ELLISON DRIVE
FOREST AT DUKE,12/12/1994 12:00:00 AM,,2701 PICKETT RD
HILLCREST CONVALESENT CENTER,12/13/1994 12:00:00 AM,,1417 W PETTIGREW ST
PETTIGREW REHABILITATION CTR,12/5/1994 12:00:00 AM,,1515 W PETTIGREW ST
TREYBURN REHABILITATION AND NURSING CENTER,12/29/1994 12:00:00 AM,,2059 TORREDGE ROAD
SPRING ARBOR OF DURHAM,10/13/1995 12:00:00 AM,,4523 HOPE VALLEY RD
KINDRED TRANS CARE& REHAB-ROSE MANOR,6/3/1996 12:00:00 AM,,4230 N ROXBORO RD
WYNWOOD OF CHAPEL HILL,1/28/1997 12:00:00 AM,,2220 FARMINGTON RD
CLARE BRIDGE OF CHAPEL HILL,4/21/1999 12:00:00 AM,,2230 FARMINGTON ROAD
CROASDAILE VILLAGE RETIREMENT,2/29/2000 12:00:00 AM,,2600 CROADSDAILE FARM PARKWA
DURHAM RIDGE ASSISTED LIVING,8/9/1994 12:00:00 AM,,3420 HOLLOWAY ST
CAROLINA HOUSE OF DURHAM,9/2/2003 12:00:00 AM,,4434 BEN FRANKLIN BLVD
CEDARS OF CHAPEL HILL,9/8/2004 12:00:00 AM,,101 GREEN CEDAR LANE
EDEN SPRING LIVING CENTER,3/8/2005 12:00:00 AM,,3812 BOOKER ST
PRUITT HEALTH DURHAM,4/29/2008 12:00:00 AM,,3100 ERWIN ROAD
DUKE HOSPITAL NORTH,10/25/1994 12:00:00 AM,,2100 ERWIN ROAD
